Genus,"Body
Length ( mm )","Glabellar
Length ( mm )","Glabellar
Width ( mm )"
Acaste,23.14,3.5,3.77
Balizoma,14.32,3.97,4.08
Calymene,51.69,10.91,10.72
Ceraurus,21.15,4.9,4.69
Cheirurus,31.74,9.33,12.11
Cybantyx,36.81,11.35,10.1
Cybeloides,25.13,6.39,6.81
Daimanites,32.93,8.46,6.08
Delphion,21.81,6.92,9.01
Ormathops,13.88,5.03,4.34
Phacopdina,21.43,7.03,6.79
Phacops,27.23,5.3,8.19
Placopoaria,38.15,9.4,8.71
Pricyclopyge,40.11,14.98,12.98
Ptychoparia,62.17,12.25,8.71
Rhenops,55.94,19,13.1
Sphaerexochus,23.31,3.84,4.6
Toxochasmops,46.12,8.15,11.42
Trimerus,89.43,23.18,21.52
Zacanthoides,47.89,13.56,11.78